22461 678
19714 588
35785 1071
4022 122
49913 1462
16302 491
55762 1632
66770 1949
32831 980
19402 576
32521 971
66778 1950
51284 1505
32656 975
16677 502
65279 1907
32308 962
6150 172
55909 1638
43189 1285
31911 950
2315 70
56124 1646
51603 1518
26487 795
21101 639
69374 2035
17653 522
25286 761
52000 1530
52004 1531
32011 953
4650 136
22712 683
42054 1256
26154 790
43699 1298
26152 789
52021 1532
42059 1257
19575 584
16389 493
43501 1293
52136 1535
42908 1278
52648 1555
57475 1680
64294 1882
55290 1619
9522 274
38437 1148
60002 1757
38435 1147
65500 1914
24885 750
52481 1547
51301 1506
69195 2029
70062 2054
49143 1444
46641 1369
9411 270
57050 1669
9415 271
10639 299
6375 179
12126 355
33477 999
49308 1449
22872 688
3512 110
18853 564
37001 1113
63594 1868
50160 1467
41234 1238
53379 1575
42122 1259
70188 2061
71287 2099
15716 465
15715 464
15714 463
10563 298
38646 1150
62880 1850
29369 876
70806 2087
39746 1191
68773 2009
10094 283
21439 648
36154 1081
36151 1080
70485 2071
13056 388
13054 387
68117 1993
68912 2015
14246 427
46964 1381
12949 381
54371 1599
24230 731
24231 732
24234 733
1198 36
58693 1711
40743 1220
54087 1588
37957 1134
1751 56
67363 1970
1174 35
6971 198
8168 227
68829 2011
4254 128
29435 879
44706 1326
39594 1184
1282 41
11162 313
34374 1026
7181 200
33052 986
66164 1932
50893 1488
4188 126
34796 1040
35069 1048
47677 1400
26624 800
55113 1611
6571 190
28180 848
29616 885
34157 1017
28962 871
22479 679
23473 706
42888 1277
11577 333
60901 1793
50670 1480
32538 973
35335 1055
24708 748
22278 674
32536 972
55936 1640
55935 1639
69393 2038
16664 501
43867 1305
25055 755
25723 772
6785 195
4728 138
13614 405
46126 1355
40457 1212
65867 1921
48911 1438
60190 1764
70981 2091
51615 1519
17623 519
46494 1362
19306 575
16485 495
56044 1644
22701 682
25122 757
41822 1252
43994 1308
19963 604
2276 69
11758 338
19562 583
63631 1869
20734 630
2455 73
9245 267
46272 1357
56915 1662
175 4
13283 397
170 3
2053 62
61836 1812
4827 140
36306 1087
45478 1344
46656 1371
46655 1370
6362 178
42337 1264
53610 1580
38093 1137
10154 286
58846 1716
20081 609
3527 111
69378 2036
57082 1670
37782 1127
17755 525
37786 1128
18849 563
36548 1093
14895 446
36784 1106
63873 1875
63872 1874
45277 1339
12221 356
2692 84
14653 442
54980 1610
26964 812
15879 473
41838 1253
71291 2100
14095 423
58203 1698
20391 619
14099 424
10084 282
13266 396
18718 558
30627 910
20263 615
41573 1246
26819 809
17835 527
62091 1825
58686 1710
38745 1157
38740 1156
62252 1829
33222 992
29801 889
41688 1248
29592 884
8624 240
8621 239
59557 1746
67687 1980
14479 434
1547 48
11114 312
26704 803
28350 854
27306 823
67756 1981
31209 934
545 14
548 15
7195 201
66152 1931
50888 1487
66406 1938
15311 456
42582 1272
40421 1210
66978 1958
27773 835
27778 836
51441 1512
59311 1729
62637 1841
67410 1972
7685 212
35141 1050
63024 1852
35211 1052
11569 332
43213 1287
52806 1560
23260 698
11563 331
28645 863
31375 939
61352 1801
28642 862
51045 1495
60331 1775
1724 54
60334 1776
25730 773
383 8
35455 1059
64854 1900
69576 2041
23865 718
10986 309
23862 717
65851 1920
27152 818
17632 520
24954 752
57274 1676
53996 1584
2200 66
64581 1894
2204 67
64587 1895
43527 1294
39904 1196
2429 71
53192 1572
20897 634
65523 1915
68623 2005
60798 1789
7849 219
19820 593
30500 907
6352 177
67042 1961
13454 401
35568 1064
26048 785
11638 335
49148 1445
2517 77
42490 1269
65869 1922
2513 76
2732 86
46840 1379
45314 1342
45642 1347
57097 1671
60661 1783
22815 686
52751 1559
21708 661
36553 1094
36004 1075
46640 1368
36558 1095
36559 1096
6227 173
70642 2078
11613 334
20385 618
18896 565
14648 441
15846 471
34958 1044
48128 1416
62319 1831
40895 1228
67306 1968
29343 875
24171 729
18946 566
1600 49
59012 1718
53022 1568
8858 250
62795 1845
18434 548
64364 1885
12921 380
33528 1002
2842 89
54193 1593
33522 1001
5475 157
48052 1413
28508 859
43700 1299
59390 1735
10181 287
45881 1349
37195 1117
54060 1586
67488 1973
33238 993
34881 1042
40236 1204
8148 226
18161 539
67303 1967
34405 1028
30980 924
18367 546
26734 805
26733 804
38281 1141
26738 806
62133 1826
24386 736
28342 853
17999 533
14465 433
8701 245
68934 2016
533 13
47526 1397
59499 1743
69066 2025
47302 1392
66416 1939
48933 1441
66968 1957
38373 1144
11032 310
55841 1635
59496 1742
37419 1122
31104 928
39480 1181
47780 1405
1392 43
49935 1463
43205 1286
52834 1562
22386 676
19164 573
39156 1171
12451 366
50695 1481
66893 1954
12459 368
12458 367
39390 1178
39393 1179
23386 701
23388 702
66784 1951
60323 1773
22035 668
35461 1060
19619 586
36538 1092
16133 484
32663 976
35665 1068
55790 1633
35660 1067
66149 1930
64821 1899
43449 1292
69504 2040
52906 1565
56686 1658
16003 477
55315 1620
55645 1629
16004 478
33349 997
57249 1675
25412 766
25411 765
56669 1657
12025 348
19909 600
60259 1767
51832 1526
12028 349
25388 763
31813 946
15437 460
46116 1354
42551 1270
42552 1271
52235 1538
19587 585
68947 2018
27238 820
64621 1896
21624 654
2435 72
19832 594
60072 1759
16592 499
19838 595
25097 756
70037 2053
4517 133
71534 2112
46672 1372
52580 1551
36969 1112
26873 810
49334 1450
63348 1858
5285 153
60670 1784
21712 662
46695 1373
37568 1124
27350 825
39803 1193
8996 257
42773 1275
57420 1678
45257 1338
41201 1237
70100 2056
48117 1415
70362 2067
14679 443
44129 1313
11825 343
11824 342
54217 1594
70698 2079
10516 296
14070 422
53565 1579
13086 389
54503 1601
11912 345
62787 1844
63991 1877
5182 149
2853 91
2852 90
5461 156
1496 45
46624 1367
67171 1963
10191 288
38765 1158
41154 1235
15853 472
37216 1118
37217 1119
36619 1098
71509 2109
67033 1960
1122 32
68810 2010
8604 236
37987 1135
14454 432
59577 1747
14323 429
30286 903
24573 743
25889 779
18379 547
54250 1595
58554 1701
18082 537
1017 27
8517 234
4198 127
67401 1971
8048 222
35057 1047
57912 1688
60863 1790
35051 1046
27713 833
48920 1440
67795 1982
8282 231
4352 131
25976 783
26617 799
55124 1612
31170 930
31175 931
28082 843
31179 932
66227 1935
66553 1946
55491 1625
35272 1054
61020 1797
50992 1491
23717 712
23712 711
47002 1384
52827 1561
51021 1492
30977 923
30972 922
8194 228
48856 1437
5706 161
28665 865
24592 744
50041 1465
50510 1474
69719 2046
60319 1772
16103 482
60316 1771
61240 1800
55277 1617
54376 1600
6758 194
53429 1577
6757 193
66892 1953
14498 435
16039 480
56472 1652
51336 1508
16031 479
39033 1167
46449 1361
19933 603
43948 1307
25408 764
46441 1360
17613 518
16587 497
32294 960
32293 959
12056 353
32299 961
43017 1281
31820 947
9277 268
5925 166
25712 771
28653 864
20709 629
64012 1878
21655 655
49527 1455
21872 666
63060 1853
19806 592
13472 402
41946 1255
63438 1862
25570 767
61805 1811
64949 1902
52591 1552
52592 1553
56091 1645
46536 1364
53315 1574
52576 1550
21272 645
21277 646
63405 1861
70116 2058
56896 1661
42164 1261
60325 1774
36802 1107
12272 359
937 26
48326 1421
58089 1695
10521 297
70374 2069
44117 1312
62686 1842
53558 1578
62332 1833
51901 1527
63086 1854
48076 1414
7315 205
7317 206
70753 2082
13257 395
12309 362
18983 568
67542 1976
30167 897
10231 290
20298 616
5494 158
28521 860
3304 104
70974 2090
3301 103
1713 53
24026 724
29727 888
15440 461
57928 1689
36600 1097
37225 1120
68864 2012
58567 1703
33943 1013
58561 1702
24560 742
58763 1714
3017 96
40855 1225
18742 560
65298 1909
40328 1208
34334 1024
8726 246
622 17
1225 38
1224 37
23129 695
28384 855
49996 1464
13877 413
6532 188
48919 1439
40456 1211
15558 462
4341 130
34196 1018
34197 1019
68304 1998
61235 1799
38396 1146
50324 1470
14531 436
38390 1145
29658 886
67325 1969
34420 1029
8610 237
66541 1944
8619 238
55468 1624
11338 322
26528 796
10200 289
51033 1494
6400 182
32861 981
59219 1727
35488 1061
60303 1769
60307 1770
52961 1566
47104 1387
28875 870
39599 1185
13656 406
31949 952
63198 1855
13897 415
13890 414
11244 319
11240 318
51499 1516
32919 982
51494 1515
19741 589
19742 590
39047 1168
32736 977
19923 601
16206 488
55840 1634
19928 602
52365 1543
